معرف الدواء,اسم الدواء,المواد الفعالة,العيارات,الشكل الصيدلاني,المصنع,التركيب الأصلي,الشكل الأصلي,حالة المصدر
2606,Gly Free 10,glipizide,10mg,قرص مغلف,التراميديكا,glipizide 10mg / c-tab,coated-tab,بيانات مكتملة
2607,Gly Free 2.5,glipizide,2.5mg,قرص مغلف,التراميديكا,glipizide 2.5mg / c-tab,coated-tab,بيانات مكتملة
2608,Gly Free 5,glipizide,5mg,قرص مغلف,التراميديكا,glipizide 5mg / c-tab,coated-tab,بيانات مكتملة
2609,Grandapen 2.5,naratriptan,2.5mg,قرص مغلف,التراميديكا,naratriptan 2.5mg / c-tab,coated-tab,بيانات مكتملة
2610,Hair Care,calcium D-Pantothate(vit B5) + keratin + L-Cystine + para Amino Benzoic Acid + thiamine + yeast,60mg + 20mg + 20mg + 20mg + 60mg + 100mg,كبسولة,التراميديكا,calcium D-Pantothate(vit B5) 60mg+keratin 20mg+L-Cystine 20mg+para Amino Benzoic Acid 20mg+thiamine 60mg+yeast 100mg / cap,cap,بيانات مكتملة
2611,Helarband,aloe + lupinus Albus + menta Piperita + rubia Tinctoria,107mg + 107mg + 85mg + 53.3mg,تحاميل,التراميديكا,aloe 107mg+lupinus Albus 107mg+menta Piperita 85mg+rubia Tinctoria 53.3mg / supp,supp,بيانات مكتملة
2612,Hyomax 20,hyoscine 20mg / ml,,أمبولة,التراميديكا,hyoscine 20mg / ml,amp,بيانات مكتملة
2613,Ichtasol,ichthammol + sulfanilamide,7.5% + 8%,مرهم,التراميديكا,ichthammol 7.5%+sulfanilamide 8%,oint,بيانات مكتملة
2614,Kerni 10,finerenone,10mg,قرص مغلف,التراميديكا,finerenone 10mg / c-tab,coated-tab,بيانات مكتملة
2615,Kerni 20,finerenone,20mg,قرص مغلف,التراميديكا,finerenone 20mg / c-tab,coated-tab,بيانات مكتملة
2616,Lazjet 40,furosemide,40mg,أمبولة,التراميديكا,furosemide 40mg / amp,amp,بيانات مكتملة
2617,Lenam 10,chlordiazepoxide,10mg,كبسولة,التراميديكا,chlordiazepoxide 10mg / cap,cap,بيانات مكتملة
2618,Lenam 25,chlordiazepoxide,25mg,كبسولة,التراميديكا,chlordiazepoxide 25mg / cap,cap,بيانات مكتملة
2619,Lenam 5,chlordiazepoxide,5mg,كبسولة,التراميديكا,chlordiazepoxide 5mg / cap,cap,بيانات مكتملة
2620,Levobest 250,levofloxacin,250mg,قرص,التراميديكا,levofloxacin 250mg / tab,tab,بيانات مكتملة
2621,Levobest 500,levofloxacin,500mg,قرص,التراميديكا,levofloxacin 500mg / tab,tab,بيانات مكتملة
2622,Levobest 750,levofloxacin,750mg,قرص,التراميديكا,levofloxacin 750mg / tab,tab,بيانات مكتملة
2623,Levonda 5,levocetirizine,5mg,قرص مغلف,التراميديكا,levocetirizine 5mg / c-tab,coated-tab,بيانات مكتملة
2624,Londalop 1,pitavastatin,1mg,قرص مغلف,التراميديكا,pitavastatin 1mg / c-tab,coated-tab,بيانات مكتملة
2625,Londalop 2,pitavastatin,2mg,قرص مغلف,التراميديكا,pitavastatin 2mg / c-tab,coated-tab,بيانات مكتملة
2626,Londalop 4,pitavastatin,4mg,قرص مغلف,التراميديكا,pitavastatin 4mg / c-tab,coated-tab,بيانات مكتملة
2627,Lopacon,loperamide + simethicone 125mg / chew-tab,2mg + ,قرص للمضغ,التراميديكا,loperamide 2mg+simethicone 125mg / chew-tab,chew-tab,بيانات مكتملة
2628,Lozitop 1%,luliconazole,1%,كريم,التراميديكا,luliconazole 1%,cream,بيانات مكتملة
2629,Maxfil 10,vardenafil,10mg,dispers-tab,التراميديكا,vardenafil 10mg / c-tab,dispers-tab,بيانات مكتملة
2630,Maxfil 20,vardenafil,20mg,dispers-tab,التراميديكا,vardenafil 20mg / c-tab,dispers-tab,بيانات مكتملة
2631,Mecovil12,mecobalamine,0.5mg,أمبولة,التراميديكا,mecobalamine 0.5mg / amp,amp,بيانات مكتملة
2632,Metagliptin 1000,metformin + sitagliptin,1000mg + 50mg,قرص مغلف,التراميديكا,metformin 1000mg+sitagliptin 50mg / tab,coated-tab,بيانات مكتملة
2633,Metagliptin 500,metformin + sitagliptin,500mg + 50mg,قرص مغلف,التراميديكا,metformin 500mg+sitagliptin 50mg / tab,coated-tab,بيانات مكتملة
2634,Metagliptin XR 100/1000,metformin + sitagliptin 100mg / XR-tab,1000mg + ,XR-tab,التراميديكا,metformin 1000mg+sitagliptin 100mg / XR-tab,XR-tab,بيانات مكتملة
2635,Metagliptin XR 50/1000,metformin + sitagliptin 50mg / XR-tab,1000mg + ,XR-tab,التراميديكا,metformin 1000mg+sitagliptin 50mg / XR-tab,XR-tab,بيانات مكتملة
2636,Metobloc 5,metoprolol,5mg,أمبولة,التراميديكا,metoprolol 5mg / amp,amp,بيانات مكتملة
2637,Metovom 10,metoclopramide,10mg,أمبولة,التراميديكا,metoclopramide 10mg / amp,amp,بيانات مكتملة
2638,Micoprogel,metronidazole + miconazole 100mg / ovule,500mg + ,بويضة مهبلية,التراميديكا,metronidazole 500mg+miconazole 100mg / ovule,ovule,بيانات مكتملة
2639,Micoprogel Fort,metronidazole + miconazole 200mg / ovule,750mg + ,بويضة مهبلية,التراميديكا,metronidazole 750mg+miconazole 200mg / ovule,ovule,بيانات مكتملة
2640,Multiflex 500,Rosa Canina 500mg / cap ورد السياج,,كبسولة,التراميديكا,Rosa Canina 500mg / cap ورد السياج,cap,بيانات مكتملة
2641,Nazo Ject,phenylephrine + promethazine,5mg + 6.25mg,شراب,التراميديكا,phenylephrine 5mg+promethazine 6.25mg / 5ml,syrup,بيانات مكتملة
2642,Nebroget,thiamine + vit B6 + vit B12,100mg + 100mg + 1mg,أمبولة,التراميديكا,thiamine 100mg+vit B6 100mg+vit B12 1mg / amp,amp,بيانات مكتملة
2643,Newfranil 10,clomipramine,10mg,كبسولة,التراميديكا,clomipramine 10mg / cap,cap,بيانات مكتملة
2644,Newfranil 25,clomipramine,25mg,كبسولة,التراميديكا,clomipramine 25mg / cap,cap,بيانات مكتملة
2645,Newfranil 50,clomipramine,50mg,كبسولة,التراميديكا,clomipramine 50mg / cap,cap,بيانات مكتملة
2646,Newfranil 75,clomipramine,75mg,كبسولة,التراميديكا,clomipramine 75mg / cap,cap,بيانات مكتملة
2647,Newgesal,camphor + capsicum + menthol + methylsalicylate 4mg / gr,40mg + 0.35mg + 20mg + ,كريم,التراميديكا,camphor 40mg+capsicum 0.35mg+menthol 20mg+methylsalicylate 4mg / gr,cream,بيانات مكتملة
2648,New Nebroget,thiamine + vit B6 + vit B12,100mg + 100mg + 0.1mg,كبسولة,التراميديكا,thiamine 100mg+vit B6 100mg+vit B12 0.1mg / cap,cap,بيانات مكتملة
2649,New Rondic,cetirizine + paracetamol + phenylephrine,2mg + 125mg + 5mg,شراب,التراميديكا,cetirizine 2mg+paracetamol 125mg+phenylephrine 5mg / 5ml,syrup,بيانات مكتملة
2650,Nibo Skin,betacetosterol + dexoanthenol + honey + vit A + vit D / 1gr, +  +  +  + ,كريم,التراميديكا,betacetosterol +dexoanthenol +honey +vit A +vit D / 1gr,cream,بيانات مكتملة
2651,Nilocan 100,flurbiprofen,100mg,تحاميل,التراميديكا,flurbiprofen 100mg / supp,supp,بيانات مكتملة
2652,Norkand 10/2.5,amlodipine + benazepril,2.5mg + 10mg,كبسولة,التراميديكا,amlodipine 2.5mg+benazepril 10mg / cap,cap,بيانات مكتملة
2653,Norkand 10/5,amlodipine + benazepril,5mg + 10mg,كبسولة,التراميديكا,amlodipine 5mg+benazepril 10mg / cap,cap,بيانات مكتملة
2654,Norkand 20/5,amlodipine + benazepril,5mg + 20mg,كبسولة,التراميديكا,amlodipine 5mg+benazepril 20mg / cap,cap,بيانات مكتملة
2655,Norkand Fort,amlodipine + benazepril,10mg + 20mg,كبسولة,التراميديكا,amlodipine 10mg+benazepril 20mg / cap,cap,بيانات مكتملة
2656,Norpalin 2,nor Adrenaline,2mg,أمبولة,التراميديكا,nor Adrenaline 2mg / amp,amp,بيانات مكتملة
2657,Norpalin 4,nor Adrenaline,4mg,أمبولة,التراميديكا,nor Adrenaline 4mg / amp,amp,بيانات مكتملة
2658,Nystacort,chlorhexidine + dexamethasone + nystatin 100000i.u. / gr,11.5mg + 1mg + ,كريم,التراميديكا,chlorhexidine 11.5mg+dexamethasone 1mg+nystatin 100000i.u. / gr,cream,بيانات مكتملة
2659,Opti Lip 10,atorvastatin,10mg,قرص مغلف,التراميديكا,atorvastatin 10mg / c-tab,coated-tab,بيانات مكتملة
2660,Opti Lip 20,atorvastatin,20mg,قرص مغلف,التراميديكا,atorvastatin 20mg / c-tab,coated-tab,بيانات مكتملة
2661,Opti Lip 40,atorvastatin,40mg,قرص مغلف,التراميديكا,atorvastatin 40mg / c-tab,coated-tab,بيانات مكتملة
2662,Orphilexa,orphenadrine + paracetamol,35mg + 450mg,قرص,التراميديكا,orphenadrine 35mg+paracetamol 450mg / tab,tab,بيانات مكتملة
2663,Orphipal,acetyl Salicylic Acid + caffeine + orphenadrine,385mg + 30mg + 25mg,قرص,التراميديكا,acetyl Salicylic Acid 385mg+caffeine 30mg+orphenadrine 25mg / tab,tab,بيانات مكتملة
2664,Peldinar,vit A + vit E,30000i.u. + 70mg,قرص مغلف,التراميديكا,vit A 30000i.u.+vit E 70mg / c-tab,coated-tab,بيانات مكتملة
2665,Pino 10%,benzoylperoxide,10%,جل,التراميديكا,benzoylperoxide 10%,gel,بيانات مكتملة
2666,Pino 5%,benzoylperoxide,5%,جل,التراميديكا,benzoylperoxide 5%,gel,بيانات مكتملة
2667,Potassium Chloride 15%,potassium Chloride,15%,أمبولة,التراميديكا,potassium Chloride 15%,amp,بيانات مكتملة
2668,Prandosin 4,silodosin,4mg,كبسولة,التراميديكا,silodosin 4mg / cap,cap,بيانات مكتملة
2669,Prandosin 8,silodosin,8mg,كبسولة,التراميديكا,silodosin 8mg / cap,cap,بيانات مكتملة
2670,Provastil,dimetindene 1mg / ml,,قطرات فموية,التراميديكا,dimetindene 1mg / ml,oral-drops,بيانات مكتملة
2671,Rebond,glucos Amine + manganese + silicon + turmeric Extract + ascorbic Acid,500mg + 1.25mg + 0.75mg + 125mg + 75mg,قرص,التراميديكا,glucos Amine 500mg+manganese 1.25mg+silicon 0.75mg+turmeric Extract 125mg+ascorbic Acid 75mg / tab,tab,بيانات مكتملة
2672,Rect Adult,guaifenesin + oxomemazine + paracetamol + sodium Benzoate,133mg + 6.6mg + 133mg + 133mg,تحاميل,التراميديكا,guaifenesin 133mg+oxomemazine 6.6mg+paracetamol 133mg+sodium Benzoate 133mg / supp,supp,بيانات مكتملة
2673,Rect child,guaifenesin + oxomemazine + paracetamol + sodium Benzoate,66.6mg + 3.3mg + 66.6mg + 66.6mg,تحاميل,التراميديكا,guaifenesin 66.6mg+oxomemazine 3.3mg+paracetamol 66.6mg+sodium Benzoate 66.6mg / supp,supp,بيانات مكتملة
2674,Resleep 2,melatonine,2mg,قرص مغلف,التراميديكا,melatonine 2mg / c-tab,coated-tab,بيانات مكتملة
2675,Resleep 5,melatonine,5mg,قرص مغلف,التراميديكا,melatonine 5mg / c-tab,coated-tab,بيانات مكتملة
2676,Respira 15,ambroxol,15mg,شراب,التراميديكا,ambroxol 15mg / 5ml,syrup,بيانات مكتملة
2677,Restopril 10,ramipril,10mg,كبسولة,التراميديكا,ramipril 10mg / cap,cap,بيانات مكتملة
2678,Restopril 2.5,ramipril,2.5mg,كبسولة,التراميديكا,ramipril 2.5mg / cap,cap,بيانات مكتملة
2679,Restopril 5,ramipril,5mg,كبسولة,التراميديكا,ramipril 5mg / cap,cap,بيانات مكتملة
2680,Rexblad 10,oxybutynin 10mg / SR-tab,,SR-tab,التراميديكا,oxybutynin 10mg / SR-tab,SR-tab,بيانات مكتملة
2681,Rexblad 15,oxybutynin 15mg / SR-tab,,SR-tab,التراميديكا,oxybutynin 15mg / SR-tab,SR-tab,بيانات مكتملة
2682,Rexblad 5,oxybutynin 5mg / SR-tab,,SR-tab,التراميديكا,oxybutynin 5mg / SR-tab,SR-tab,بيانات مكتملة
2683,Rioxaban 10,rivaroxaban,10mg,قرص مغلف,التراميديكا,rivaroxaban 10mg / c-tab,coated-tab,بيانات مكتملة
2684,Rioxaban 15,rivaroxaban,15mg,قرص مغلف,التراميديكا,rivaroxaban 15mg / c-tab,coated-tab,بيانات مكتملة
2685,Rioxaban 2.5,rivaroxaban,2.5mg,قرص مغلف,التراميديكا,rivaroxaban 2.5mg / c-tab,coated-tab,بيانات مكتملة
2686,Rioxaban 20,rivaroxaban,20mg,قرص مغلف,التراميديكا,rivaroxaban 20mg / c-tab,coated-tab,بيانات مكتملة
2687,Saco Plus 103/97,sacubitril + valsartan,97.2mg + 102.8mg,قرص مغلف,التراميديكا,sacubitril 97.2mg+valsartan 102.8mg / c-tab,coated-tab,بيانات مكتملة
2688,Saco Plus 26/24,sacubitril + valsartan,24.3mg + 25.7mg,قرص مغلف,التراميديكا,sacubitril 24.3mg+valsartan 25.7mg / c-tab,coated-tab,بيانات مكتملة
2689,Saco Plus 51/49,sacubitril + valsartan,48.6mg + 51.4mg,قرص مغلف,التراميديكا,sacubitril 48.6mg+valsartan 51.4mg / c-tab,coated-tab,بيانات مكتملة
2690,Slofag 1000,metformin,1000mg,قرص مغلف,التراميديكا,metformin 1000mg / c-tab,coated-tab,بيانات مكتملة
2691,Slofag 500,metformin,500mg,قرص مغلف,التراميديكا,metformin 500mg / c-tab,coated-tab,بيانات مكتملة
2692,Solimux 375,carbo Cisteine,375mg,كبسولة,التراميديكا,carbo Cisteine 375mg / cap,cap,بيانات مكتملة
2693,Spando Verin 120,alverine,120mg,كبسولة,التراميديكا,alverine 120mg / cap,cap,بيانات مكتملة
2694,Spando Verin 60,alverine,60mg,كبسولة,التراميديكا,alverine 60mg / cap,cap,بيانات مكتملة
2695,Spiradent,metronidazole + spiramycin,125mg + 750000i.u.,قرص مغلف,التراميديكا,metronidazole 125mg+spiramycin 750000i.u. / c-tab,coated-tab,بيانات مكتملة
2696,Spiradent Fort,metronidazole + spiramycin,250mg + 1500000i.u.,قرص مغلف,التراميديكا,metronidazole 250mg+spiramycin 1500000i.u. / c-tab,coated-tab,بيانات مكتملة
2697,Spirdactone 100,spironolactone,100mg,قرص مغلف,التراميديكا,spironolactone 100mg / c-tab,coated-tab,بيانات مكتملة
2698,Spirdactone 25,spironolactone,25mg,قرص مغلف,التراميديكا,spironolactone 25mg / c-tab,coated-tab,بيانات مكتملة
2699,Spirdactone 50,spironolactone,50mg,قرص مغلف,التراميديكا,spironolactone 50mg / c-tab,coated-tab,بيانات مكتملة
2700,Spiritex 10,olanzapine,10mg,قرص مغلف,التراميديكا,olanzapine 10mg / c-tab,coated-tab,بيانات مكتملة
2701,Spiritex 5,olanzapine,5mg,قرص مغلف,التراميديكا,olanzapine 5mg / c-tab,coated-tab,بيانات مكتملة
2702,Spiritex 7.5,olanzapine,7.5mg,قرص مغلف,التراميديكا,olanzapine 7.5mg / c-tab,coated-tab,بيانات مكتملة
2703,Stomacol,aluminium Hydroxide + magnesium Hydroxide 200mg / chew-tab,200mg + ,قرص للمضغ,التراميديكا,aluminium Hydroxide 200mg+magnesium Hydroxide 200mg / chew-tab,chew-tab,بيانات مكتملة
2704,Stomacol Plus,aluminium Hydroxide + magnesium Hydroxide + simethicone 25mg / chew-tab,200mg + 200mg + ,قرص للمضغ,التراميديكا,aluminium Hydroxide 200mg+magnesium Hydroxide 200mg+simethicone 25mg / chew-tab,chew-tab,بيانات مكتملة
2705,Sun D3 1000,vit D3 ( cholecalciferol ),"1,000i.u.",كبسولة,التراميديكا,"vit D3 ( cholecalciferol ) 1,000i.u. / cap",cap,بيانات مكتملة
2706,Sun D3 10000,vit D3 ( cholecalciferol ),"10,000i.u.",كبسولة,التراميديكا,"vit D3 ( cholecalciferol ) 10,000i.u. / cap",cap,بيانات مكتملة
2707,Sun D3 5000,vit D3 ( cholecalciferol ),"5,000i.u.",كبسولة,التراميديكا,"vit D3 ( cholecalciferol ) 5,000i.u. / cap",cap,بيانات مكتملة
2708,Sun D3 50000,vit D3 ( cholecalciferol ),"50,000i.u.",كبسولة,التراميديكا,"vit D3 ( cholecalciferol ) 50,000i.u. / cap",cap,بيانات مكتملة
2709,Surgafast 100,tiaprofenic Acid,100mg,قرص,التراميديكا,tiaprofenic Acid 100mg / c-tab,tab,بيانات مكتملة
2710,Surgafast 300,tiaprofenic Acid,300mg,قرص,التراميديكا,tiaprofenic Acid 300mg / c-tab,tab,بيانات مكتملة
2711,Telmicand 20,telmisartan,20mg,قرص,التراميديكا,telmisartan 20mg / tab,tab,بيانات مكتملة
2712,Telmicand 40,telmisartan,40mg,قرص,التراميديكا,telmisartan 40mg / tab,tab,بيانات مكتملة
2713,Telmicand 80,telmisartan,80mg,قرص,التراميديكا,telmisartan 80mg / tab,tab,بيانات مكتملة
2714,Tinea Stop 1%,naftifine,1%,كريم,التراميديكا,naftifine 1%,cream,بيانات مكتملة
2715,Trialog,triamcinolone,,oral-gel,التراميديكا,triamcinolone,oral-gel,بيانات مكتملة
2716,Trilodin,phenylephrine + triprolidine,5mg + 2.5mg,قرص,التراميديكا,phenylephrine 5mg+triprolidine 2.5mg / c-tab,tab,بيانات مكتملة
2717,Tripland 160/10/12.5,amlodipine + H.C.T.Z. ( Hydro Chlor Thia Zide ) + valsartan,10mg + 12.5mg + 160mg,قرص مغلف,التراميديكا,amlodipine 10mg+H.C.T.Z. ( Hydro Chlor Thia Zide ) 12.5mg+valsartan 160mg / c-tab,coated-tab,بيانات مكتملة
2718,Tripland 160/10/25,amlodipine + H.C.T.Z. ( Hydro Chlor Thia Zide ) + valsartan,10mg + 25mg + 160mg,قرص مغلف,التراميديكا,amlodipine 10mg+H.C.T.Z. ( Hydro Chlor Thia Zide ) 25mg+valsartan 160mg / c-tab,coated-tab,بيانات مكتملة
2719,Tripland 160/5/12.5,amlodipine + H.C.T.Z. ( Hydro Chlor Thia Zide ) + valsartan,5mg + 12.5mg + 160mg,قرص مغلف,التراميديكا,amlodipine 5mg+H.C.T.Z. ( Hydro Chlor Thia Zide ) 12.5mg+valsartan 160mg / c-tab,coated-tab,بيانات مكتملة
2720,Tripland 160/5/25,amlodipine + H.C.T.Z. ( Hydro Chlor Thia Zide ) + valsartan,5mg + 25mg + 160mg,قرص مغلف,التراميديكا,amlodipine 5mg+H.C.T.Z. ( Hydro Chlor Thia Zide ) 25mg+valsartan 160mg / c-tab,coated-tab,بيانات مكتملة
2721,Tripland 320/10/25,amlodipine + H.C.T.Z. ( Hydro Chlor Thia Zide ) + valsartan,10mg + 25mg + 160mg,قرص مغلف,التراميديكا,amlodipine 10mg+H.C.T.Z. ( Hydro Chlor Thia Zide ) 25mg+valsartan 160mg / c-tab,coated-tab,بيانات مكتملة
2722,Ultrafolic Z,folic Acid + iron + zinc,0.5mg + 150mg + 22.5mg,كبسولة,التراميديكا,folic Acid 0.5mg+iron 150mg+zinc 22.5mg / cap,cap,بيانات مكتملة
2723,Ultraglycerol 70%,glycerol,1000mg,تحاميل,التراميديكا,glycerol 1000mg / supp,supp,بيانات مكتملة
2724,Ultra MSM 1000,methyl Sulfane Methane,1000mg,كبسولة,التراميديكا,methyl Sulfane Methane 1000mg / cap,cap,بيانات مكتملة
2725,Ultrasone 0.05%,betamethasone,0.05%,كريم,التراميديكا,betamethasone 0.05%,cream,بيانات مكتملة
2726,Ursoclic 250,urso De Oxy Cholic Acid,250mg,كبسولة,التراميديكا,urso De Oxy Cholic Acid 250mg / cap,cap,بيانات مكتملة
2727,Valican H 160/12.5,H.C.T.Z. ( Hydro Chlor Thia Zide ) + valsartan,12.5mg + 160mg,قرص مغلف,التراميديكا,H.C.T.Z. ( Hydro Chlor Thia Zide ) 12.5mg+valsartan 160mg / c-tab,coated-tab,بيانات مكتملة
2728,Valican H 160/25,H.C.T.Z. ( Hydro Chlor Thia Zide ) + valsartan,25mg + 160mg,قرص مغلف,التراميديكا,H.C.T.Z. ( Hydro Chlor Thia Zide ) 25mg+valsartan 160mg / c-tab,coated-tab,بيانات مكتملة
2729,Valican H 320/12.5,H.C.T.Z. ( Hydro Chlor Thia Zide ) + valsartan,12.5mg + 320mg,قرص مغلف,التراميديكا,H.C.T.Z. ( Hydro Chlor Thia Zide ) 12.5mg+valsartan 320mg / c-tab,coated-tab,بيانات مكتملة
2730,Valican H 320/25,H.C.T.Z. ( Hydro Chlor Thia Zide ) + valsartan,25mg + 320mg,قرص مغلف,التراميديكا,H.C.T.Z. ( Hydro Chlor Thia Zide ) 25mg+valsartan 320mg / c-tab,coated-tab,بيانات مكتملة
2731,Valican H 80/12.5,H.C.T.Z. ( Hydro Chlor Thia Zide ) + valsartan,12.5mg + 80mg,قرص مغلف,التراميديكا,H.C.T.Z. ( Hydro Chlor Thia Zide ) 12.5mg+valsartan 80mg / c-tab,coated-tab,بيانات مكتملة
2732,Vitamin A 50,vit A,50000i.u.,كبسولة,التراميديكا,vit A 50000i.u. / cap,cap,بيانات مكتملة
2733,Zithro Penda 250,azithromycin,250mg,قرص مغلف,التراميديكا,azithromycin 250mg / cap,coated-tab,بيانات مكتملة
2734,Zithro Penda 500,azithromycin,500mg,قرص مغلف,التراميديكا,azithromycin 500mg / cap,coated-tab,بيانات مكتملة
2735,Acyclovir 400,acyclovir,400mg,قرص,الفا,acyclovir 400mg / tab,tab,بيانات مكتملة
2736,Adalatine 10,nifedipine 10mg / soft-cap,,كبسولة هلامية,الفا,nifedipine 10mg / soft-cap,gel-cap,بيانات مكتملة
2737,Adrafor 1,adrenaline,1mg,أمبولة,الفا,adrenaline 1mg / amp,amp,بيانات مكتملة
2738,Alpen V 500,phenoxy Methyl Penicillin ( penicillin V ),500000i.u.,قرص,الفا,phenoxy Methyl Penicillin ( penicillin V ) 500000i.u. / tab,tab,بيانات مكتملة
2739,Alpha Cold,,,كبسولة هلامية,الفا,,gel-cap,التركيب غير موجود في APK
2740,Alphacort 40,triam Cinolone,40mg,أمبولة,الفا,triam Cinolone 40mg / amp,amp,بيانات مكتملة
2741,Alphaglip 100,sitagliptin,100mg,قرص,الفا,sitagliptin 100mg / tab,tab,بيانات مكتملة
2742,Alphaglip 25,sitagliptin,25mg,قرص مغلف,الفا,sitagliptin 25mg / tab,coated-tab,بيانات مكتملة
2743,Alphaglip 50,sitagliptin,50mg,قرص مغلف,الفا,sitagliptin 50mg / tab,coated-tab,بيانات مكتملة
2744,Alphaglip Plus 1000/50,metformin + sitagliptin,1000mg + 100mg,قرص مغلف,الفا,metformin 1000mg+sitagliptin 100mg / c-tab,coated-tab,بيانات مكتملة
2745,Alphaglip Plus 500/50,metformin + sitagliptin,500mg + 25mg,قرص مغلف,الفا,metformin 500mg+sitagliptin 25mg / c-tab,coated-tab,بيانات مكتملة
2746,Alphaglip Plus 850/50,metformin + sitagliptin,850mg + 50mg,قرص مغلف,الفا,metformin 850mg+sitagliptin 50mg / c-tab,coated-tab,بيانات مكتملة
2747,Alphapen 1ML,benzyl Penicillin ( penicillin G ),1000000i.u.,فيال جاف,الفا,benzyl Penicillin ( penicillin G ) 1000000i.u. / vial,dry-vial,بيانات مكتملة
2748,Alpharhinol,ephedrine + naphazoline 1.25mg / ml,5mg + ,بخاخ أنفي,الفا,ephedrine 5mg+naphazoline 1.25mg / ml,nasal-spray,بيانات مكتملة
2749,Alphastat 120,orlistat,120mg,كبسولة,الفا,orlistat 120mg / cap,cap,بيانات مكتملة
2750,Alphastat 60,orlistat,60mg,كبسولة,الفا,orlistat 60mg / cap,cap,بيانات مكتملة
2751,Alphatin Privin,antazoline + naphazoline 0.250mg / ml,5mg + ,قطرة عينية,الفا,antazoline 5mg+naphazoline 0.250mg / ml,eye-drops,بيانات مكتملة
2752,Alphatrim,sulfamethoxazole + trimethoprim,200mg + 40mg,معلق,الفا,sulfamethoxazole 200mg+trimethoprim 40mg / 5ml,susp,بيانات مكتملة
2753,Alphatrim Fort,sulfamethoxazole + trimethoprim,800mg + 160mg,قرص,الفا,sulfamethoxazole 800mg+trimethoprim 160mg / tab,tab,بيانات مكتملة
2754,Alphaxitrol,dexamethasone + neomycin + polymyxin 6000i.u. / ml,1mg + 3500i.u. + ,قطرة عينية,الفا,dexamethasone 1mg+neomycin 3500i.u.+polymyxin 6000i.u. / ml,eye-drops,بيانات مكتملة
2755,Alphazar 100,losartan,100mg,قرص مغلف,الفا,losartan 100mg / c-tab,coated-tab,بيانات مكتملة
2756,Alphazar 25,losartan,25mg,قرص مغلف,الفا,losartan 25mg / c-tab,coated-tab,بيانات مكتملة
2757,Alphazar 50,losartan,50mg,قرص مغلف,الفا,losartan 50mg / c-tab,coated-tab,بيانات مكتملة
2758,Altimol 0.5%,timolol,0.5%,قطرة عينية,الفا,timolol 0.5%,eye-drops,بيانات مكتملة
2759,Ampiluxe 1000,ampicillin + cloxacillin,500mg + 500mg,فيال جاف,الفا,ampicillin 500mg+cloxacillin 500mg / vial,dry-vial,بيانات مكتملة
2760,Ampiluxe 250,ampicillin + cloxacillin,125mg + 125mg,dry-syrup,الفا,ampicillin 125mg+cloxacillin 125mg / 5ml,dry-syrup,بيانات مكتملة
2761,Ampiluxe 500,ampicillin + cloxacillin,250mg + 250mg,كبسولة,الفا,ampicillin 250mg+cloxacillin 250mg / cap,cap,بيانات مكتملة
2762,Aqua Clear 0.4%,sod.Hyaluronate,0.4%,قطرة عينية,الفا,sod.Hyaluronate 0.4%,eye-drops,بيانات مكتملة
2763,Arco 120,etoricoxib,120mg,قرص,الفا,etoricoxib 120mg / tab,tab,بيانات مكتملة
2764,Arco 60,etoricoxib,60mg,قرص,الفا,etoricoxib 60mg / tab,tab,بيانات مكتملة
2765,Arco 90,etoricoxib,90mg,قرص,الفا,etoricoxib 90mg / tab,tab,بيانات مكتملة
2766,Atorvatin 10,atorvastatin,10mg,قرص مغلف,الفا,atorvastatin 10mg / c-tab,coated-tab,بيانات مكتملة
2767,Atorvatin 20,atorvastatin,20mg,قرص مغلف,الفا,atorvastatin 20mg / c-tab,coated-tab,بيانات مكتملة
2768,Atorvatin 40,atorvastatin,40mg,قرص مغلف,الفا,atorvastatin 40mg / c-tab,coated-tab,بيانات مكتملة
2769,Atorvatin Plus 10/10,atorvastatin + ezetimibe,10mg + 10mg,قرص مغلف,الفا,atorvastatin 10mg+ezetimibe 10mg / c-tab,coated-tab,بيانات مكتملة
2770,Azithrocine 100,azithromycin,100mg,dry-syrup,الفا,azithromycin 100mg / 5ml,dry-syrup,بيانات مكتملة
2771,Azithrocine 200,azithromycin,200mg,dry-syrup,الفا,azithromycin 200mg / 5ml,dry-syrup,بيانات مكتملة
2772,Azithrocine 250,azithromycin,250mg,كبسولة,الفا,azithromycin 250mg / cap,cap,بيانات مكتملة
2773,Azithrocine 500,azithromycin,500mg,قرص مغلف,الفا,azithromycin 500mg / cap,coated-tab,بيانات مكتملة
2774,Azmex,bromhexine + guaifenesin + menthol + terbutaline,4mg + 50mg + 2.5mg + 1.25mg,شراب,الفا,bromhexine 4mg+guaifenesin 50mg+menthol 2.5mg+terbutaline 1.25mg / 5ml,syrup,بيانات مكتملة
2775,Betamycin,betamethasone + gentamicin 3mg / ml,1mg + ,قطرة عينية,الفا,betamethasone 1mg+gentamicin 3mg / ml,eye-drops,بيانات مكتملة
2776,Biscopale 20,hyoscine,20mg,أمبولة,الفا,hyoscine 20mg / amp,amp,بيانات مكتملة
2777,Blepha,phenylephrine + prednisolone + sulfacetamide 100mg / ml,1.2mg + 2mg + ,قطرة عينية,الفا,phenylephrine 1.2mg+prednisolone 2mg+sulfacetamide 100mg / ml,eye-drops,بيانات مكتملة
